School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
SPOKANE FALLS MONTESSORI,2015-16,7,100,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Y,SPOKANE SCHOOL DISTRICT,1909 N.WRIGHT DR.,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K,Y,N
SPOKANE INTERNATIONAL ACADEMY,2015-16,156,96.8,3.2,0,3.2,0,0,2.6,2.6,3.2,2.6,2.6,2.6,151,5,0,5,0,0,4,4,5,4,4,4,Y,SPOKANE SCHOOL DISTRICT,2706 E QUEEN AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y
SPOKANE PUBLIC MONTESSORI,2015-16,397,78.6,20.7,4.3,15.4,1.5,0,12.3,12.3,14.9,13.9,15.4,17.4,312,82,17,61,6,0,49,49,59,55,61,69,Y,SPOKANE SCHOOL DISTRICT,1300 W KNOX AV,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-8,Y,Y
SPOKANE VALLEY ADVENTIST SCHOOL,2015-16,36,58.3,33.3,0,33.3,0,0,27.8,27.8,33.3,27.8,25,27.8,21,12,0,12,0,0,10,10,12,10,9,10,Y,CENTRAL VALLEY SCHOOL DISTRICT,1603 S SULLIVAN RD,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K-9,Y,Y
SPOKANE VALLEY HIGH SCHOOL,2015-16,107,90.7,7.5,0.9,7.5,0,0,7.5,7.5,5.6,3.7,1.9,0,97,8,1,8,0,0,8,8,6,4,2,0,Y,WEST VALLEY SCHOOL DISTRICT (SPOKANE),2011 N HUTCHINSON,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
SPOKANE VALLEY LEARNING ACADEMY,2015-16,83,55.4,25.3,3.6,22.9,0,0,20.5,21.7,21.7,21.7,21.7,19.3,46,21,3,19,0,0,17,18,18,18,18,16,Y,CENTRAL VALLEY SCHOOL DISTRICT,612 S. MCDONALD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -12,Y,Y
SPOKANE VALLEY TRANSITION SCHOOL,2015-16,180,59.4,4.4,0.6,3.9,0,0,2.2,0.6,3.3,1.7,3.3,0,107,8,1,7,0,0,4,1,6,3,6,0,Y,WEST VALLEY SCHOOL DISTRICT (SPOKANE),2011 N HUTCHINSON RD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
SPOKANE WINDSONG SCHOOL,2015-16,52,75,25,0,19.2,5.8,0,23.1,23.1,25,25,23.1,25,39,13,0,10,3,0,12,12,13,13,12,13,Y,SPOKANE SCHOOL DISTRICT,4225 W. FREEMONT RD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-2,Y,N
SPRAGUE ELEMENTARY,2015-16,43,100,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,Y,SPRAGUE SCHOOL DISTRICT,PO BOX 305,SPRAGUE,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -4,Y,N
SPRAGUE HIGH SCHOOL,2015-16,28,100,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,Y,SPRAGUE SCHOOL DISTRICT,P.O. BOX 305,SPRAGUE,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
SPRING ACADEMY,2015-16,4,100,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,113045 8TH AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,N,Y
SPRING STREET INTERNATIONAL SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,SAN JUAN ISLAND SCHOOL DISTRICT,505 SPRING ST,FRIDAY HARBOR,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,5-12,N,Y
SPRING VALLEY MONTESSORI,2015-16,45,100,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,Y,FEDERAL WAY SCHOOL DISTRICT,36605 PACIFIC HWY S,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
SPRINGBROOK ELEMENTARY SCHOOL,2015-16,532,93,0.6,0.4,0.2,0,0,0.2,0.2,0.2,0.2,0.2,0,495,3,2,1,0,0,1,1,1,1,1,0,Y,KENT SCHOOL DISTRICT,20035 100TH AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
SPRINGDALE ELEMENTARY,2015-16,172,66.3,11.6,2.3,7.6,1.7,0,8.1,7.6,7,8.7,8.7,7.6,114,20,4,13,3,0,14,13,12,15,15,13,Y,MARY WALKER SCHOOL DISTRICT,PO BOX 159,SPRINGDALE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
SPRINGDALE MIDDLE SCHOOL,2015-16,112,51.8,19.6,2.7,12.5,6.3,0,15.2,14.3,14.3,13.4,12.5,17.9,58,22,3,14,7,0,17,16,16,15,14,20,Y,MARY WALKER SCHOOL DISTRICT,PO BOX 159,SPRINGDALE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,7-8,N,N
SPRUCE ELEMENTARY,2015-16,545,89.7,2.9,0.6,2,0.6,0.2,2.6,2.6,2.6,2.8,1.7,2.6,489,16,3,11,3,1,14,14,14,15,9,14,Y,EDMONDS SCHOOL DISTRICT,17405 42ND AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
SPRUCE STREET SCHOOL,2015-16,107,85,12.1,0.9,11.2,0,0,0.9,0.9,4.7,4.7,9.3,7.5,91,13,1,12,0,0,1,1,5,5,10,8,Y,SEATTLE PUBLIC SCHOOLS,914 VIRGINIA ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N
SQUALICUM HIGH SCHOOL,2015-16,1394,95.1,3.8,0.1,3.5,0.2,0,2.3,1.4,2.4,2.2,3.2,0,1325,53,2,49,3,0,32,20,34,31,44,0,Y,BELLINGHAM SCHOOL DISTRICT,3773 E MCLEOD RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
SRHD,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,SPOKANE SCHOOL DISTRICT,200 N BERNARD ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,1-3,N,N
ST. ALOYSIUS CATHOLIC SCHOOL,2015-16,268,94.4,5.6,0.4,4.9,0.4,0,2.2,1.9,2.6,1.9,3.4,4.1,253,15,1,13,1,0,6,5,7,5,9,11,Y,SPOKANE SCHOOL DISTRICT,611 E MISSION AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ST. ALPHONSUS SCHOOL,2015-16,200,0,6,0,5,1,0,2,2,1.5,2.5,5,4,0,12,0,10,2,0,4,4,3,5,10,8,Y,SEATTLE PUBLIC SCHOOLS,5816 15TH AVE NW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. ANNE SCHOOL,2015-16,244,95.5,4.5,1.6,2.9,0,0,0.8,0.8,2,2,2.5,2,233,11,4,7,0,0,2,2,5,5,6,5,Y,SEATTLE PUBLIC SCHOOLS,101 W LEE ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. ANTHONY SCHOOL,2015-16,461,96.7,2.2,0.9,1.1,0.2,0,1.5,1.1,1.7,1.5,1.5,1.7,446,10,4,5,1,0,7,5,8,7,7,8,Y,RENTON SCHOOL DISTRICT,336 SHATTUCK AVE S,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
ST. BASIL ACADEMY OF CLASSICAL STUDIES,2015-16,43,72.1,27.9,0,11.6,16.3,0,25.6,25.6,23.3,25.6,27.9,27.9,31,12,0,5,7,0,11,11,10,11,12,12,Y,WALLA WALLA PUBLIC SCHOOLS,2346 S WILBUR,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K-8,Y,Y
ST. BENEDICT SCHOOL,2015-16,180,97.2,1.1,0.6,0.6,0,0,0.6,0.6,1.1,1.1,1.1,1.1,175,2,1,1,0,0,1,1,2,2,2,2,Y,SEATTLE PUBLIC SCHOOLS,4811 WALLINGFORD AVE N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. BERNADETTE SCHOOL,2015-16,195,100,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLINE SCHOOL DISTRICT,1028 SW 128TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. BRENDAN SCHOOL,2015-16,209,96.2,3.8,0,3.8,0,0,0,0,0,0.5,1,2.4,201,8,0,8,0,0,0,0,0,1,2,5,Y,NORTHSHORE SCHOOL DISTRICT,10049 NE 195TH ST,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. CATHERINE SCHOOL,2015-16,206,99.5,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,8524 8TH AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. CECILIA CATHOLIC SCHOOL,2015-16,81,93.8,6.2,0,6.2,0,0,4.9,6.2,6.2,6.2,6.2,6.2,76,5,0,5,0,0,4,5,5,5,5,5,Y,BAINBRIDGE ISLAND SCHOOL DISTRICT,1310 MADISON AVE,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. CHARLES BORROMEO SCHOOL,2015-16,513,92.8,1.4,0,1.2,0.2,0,1.4,1.4,1.4,1.4,1.4,1.4,476,7,0,6,1,0,7,7,7,7,7,7,Y,TACOMA SCHOOL DISTRICT,7112 S 12TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. CHARLES SCHOOL,2015-16,184,87.5,6.5,2.2,4.3,0,0,1.6,1.6,1.1,0.5,1.6,4.3,161,12,4,8,0,0,3,3,2,1,3,8,Y,SPOKANE SCHOOL DISTRICT,4515 N ALBERTA ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ST. CHRISTOPHER ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,4141 41ST AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
ST. EDWARDS SCHOOL,2015-16,147,91.2,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,4200 S MEAD ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. FRANCES CABRINI SCHOOL,2015-16,170,97.1,1.8,0.6,1.2,0,0,0.6,0.6,1.2,0.6,0.6,1.8,165,3,1,2,0,0,1,1,2,1,1,3,Y,CLOVER PARK SCHOOL DISTRICT,5621 108TH ST SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. FRANCIS OF ASSISI SCHOOL,2015-16,475,94.7,2.9,0.8,2.1,0,0,1.7,1.7,1.3,1.3,2.5,1.5,450,14,4,10,0,0,8,8,6,6,12,7,Y,HIGHLINE SCHOOL DISTRICT,15216 21ST AVE SW,BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
ST. JOHN ELEMENTARY,2015-16,77,94.8,5.2,0,5.2,0,0,3.9,3.9,3.9,3.9,2.6,5.2,73,4,0,4,0,0,3,3,3,3,2,4,Y,ST. JOHN SCHOOL DISTRICT,W 301 NOB HILL,SAINT JOHN,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
ST. JOHN OF KRONSTADT ORTHODOX CHRISTIAN SCHOOL,2015-16,22,59.1,36.4,0,31.8,4.5,0,13.6,13.6,36.4,13.6,31.8,36.4,13,8,0,7,1,0,3,3,8,3,7,8,Y,YAKIMA SCHOOL DISTRICT,706 STEWART ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K-8,Y,Y
ST. JOHN SCHOOL,2015-16,466,87.1,2.6,0.4,2.6,0,0,0.6,0.6,0.9,1.1,2.1,1.5,406,12,2,12,0,0,3,3,4,5,10,7,Y,SEATTLE PUBLIC SCHOOLS,120 N 79TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. JOHN VIANNEY SCHOOL,2015-16,139,89.2,2.2,2.2,0,0,0,0,0,0,0,0,2.2,124,3,3,0,0,0,0,0,0,0,0,3,Y,CENTRAL VALLEY SCHOOL DISTRICT,501 N WALNUT RD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ST. JOHN/ENDICOTT HIGH,2015-16,82,93.9,6.1,1.2,4.9,0,0,6.1,6.1,4.9,4.9,3.7,3.7,77,5,1,4,0,0,5,5,4,4,3,3,Y,ST. JOHN SCHOOL DISTRICT,W 301 NOB HILL,SAINT JOHN,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
ST. JOSEPH CATHOLIC SCHOOL OF ISSAQUAH,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,ISSAQUAH SCHOOL DISTRICT,200 MOUNTAIN PARK BLVD,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. JOSEPH MARQUETTE SCHOOL,2015-16,336,97.3,1.8,0,18.2,0,0,0.3,0.3,0.3,0.3,0.9,0.9,327,6,0,61,0,0,1,1,1,1,3,3,Y,YAKIMA SCHOOL DISTRICT,202 N 4TH ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-8,Y,Y
ST. JOSEPH SCHOOL,2015-16,127,92.1,2.4,0,2.4,0,0,0,0,0,0,2.4,0,117,3,0,3,0,0,0,0,0,0,3,0,Y,CHEHALIS SCHOOL DISTRICT,123 6TH ST,CHEHALIS,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
ST. JOSEPH SCHOOL,2015-16,308,99.7,0.3,0,0.3,0,0,0.3,0.3,0.3,0.3,0.3,0.3,307,1,0,1,0,0,1,1,1,1,1,1,Y,VANCOUVER SCHOOL DISTRICT,6500 HIGHLAND DR,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,P-8,Y,Y
ST. JOSEPH SCHOOL,2015-16,601,97,2.7,0.3,2.3,0,0,1.7,1.7,1.2,1.2,1.7,1.7,583,16,2,14,0,0,10,10,7,7,10,10,Y,SEATTLE PUBLIC SCHOOLS,700 18TH AVE E,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
ST. JOSEPH'S SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,WENATCHEE SCHOOL DISTRICT,600 SAINT JOSEPH PL,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-5,Y,N
ST. JOSEPH'S SCHOOL,2015-16,196,93.4,6.6,0,6.6,0,0,4.1,4.1,4.6,4.1,4.6,6.6,183,13,0,13,0,0,8,8,9,8,9,13,Y,KENNEWICK SCHOOL DISTRICT,901 W 4TH AVE,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y
ST. LOUISE SCHOOL,2015-16,421,96.2,3.8,0.5,3.3,0,0,2.4,1.4,2.9,2.6,2.4,2.9,405,16,2,14,0,0,10,6,12,11,10,12,Y,BELLEVUE SCHOOL DISTRICT,133 156TH AVE SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. LUKE SCHOOL,2015-16,318,78.6,1.9,0,1.9,0,0,1.6,1.6,1.6,1.6,1.6,1.9,250,6,0,6,0,0,5,5,5,5,5,6,Y,SHORELINE SCHOOL DISTRICT,17533 SAINT LUKE PL N,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. MADELEINE SOPHIE SCHOOL,2015-16,172,93.6,6.4,1.2,4.7,0.6,0,2.9,2.9,1.7,2.3,4.1,1.7,161,11,2,8,1,0,5,5,3,4,7,3,Y,BELLEVUE SCHOOL DISTRICT,4400 130TH PL SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. MARK SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,SHORELINE SCHOOL DISTRICT,18033 15TH PL NE,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. MARY MAGDALEN SCHOOL,2015-16,363,97.8,2.2,1.4,0.8,0,0,2.2,1.9,1.9,2.2,1.9,1.9,355,8,5,3,0,0,8,7,7,8,7,7,Y,EVERETT SCHOOL DISTRICT,8615 7TH AVE SE,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K+,Y,N
ST. MARY SCHOOL,2015-16,124,96.8,3.2,0,3.2,0,0,3.2,3.2,3.2,3.2,3.2,3.2,120,4,0,4,0,0,4,4,4,4,4,4,Y,ABERDEEN SCHOOL DISTRICT,518 NORTH H ST,ABERDEEN,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
ST. MARY'S ACADEMY,2015-16,60,88.3,11.7,0,10,1.7,0,11.7,11.7,11.7,11.7,11.7,11.7,53,7,0,6,1,0,7,7,7,7,7,7,Y,BETHEL SCHOOL DISTRICT,757 138TH ST S,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
ST. MARY'S CATHOLIC SCHOOL,2015-16,267,74.2,3.7,1.1,2.6,0,0,2.6,2.6,2.2,1.5,2.2,3,198,10,3,7,0,0,7,7,6,4,6,8,Y,CENTRAL VALLEY SCHOOL DISTRICT,14601 E 4TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ST. MATTHEW LUTHERAN SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,SPOKANE SCHOOL DISTRICT,6917 N COUNTRY HOMES BLVD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ST. MATTHEW SCHOOL,2015-16,210,100,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,1230 NE 127TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. MICHAEL CATHOLIC SCHOOL,2015-16,113,96.5,3.5,0,3.5,0,0,3.5,3.5,3.5,3.5,3.5,3.5,109,4,0,4,0,0,4,4,4,4,4,4,Y,SNOHOMISH SCHOOL DISTRICT,1514 PINE AVE,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
ST. MICHAEL SCHOOL,2015-16,235,94.9,4.3,1.7,2.6,0,0,2.1,2.6,1.7,2.6,2.1,2.6,223,10,4,6,0,0,5,6,4,6,5,6,Y,OLYMPIA SCHOOL DISTRICT,1204 11TH AVE SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K-8,Y,Y
ST. MICHAEL'S ACADEMY,2015-16,131,43.5,56.5,0,54.2,2.3,0,55,57.3,54.2,56.5,55.7,58,57,74,0,71,3,0,72,75,71,74,73,76,Y,ORCHARD PRAIRIE SCHOOL DISTRICT,8500 N ST MICHAEL'S RD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-12,Y,Y
ST. MONICA SCHOOL,2015-16,175,98.3,1.7,0,1.7,0,0,1.7,1.7,1.7,1.7,1.7,1.7,172,3,0,3,0,0,3,3,3,3,3,3,Y,MERCER ISLAND SCHOOL DISTRICT,4320 87TH AVE SE,MERCER ISLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. NICHOLAS SCHOOL,2015-16,137,95.6,4.4,0,4.4,0,0,4.4,4.4,4.4,4.4,4.4,4.4,131,6,0,6,0,0,6,6,6,6,6,6,Y,PENINSULA SCHOOL DISTRICT,3555 EDWARDS DR,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. PATRICK CATHOLIC SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,SPOKANE SCHOOL DISTRICT,2706 E QUEEN AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
ST. PATRICK SCHOOL,2015-16,205,33.2,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,68,1,1,0,0,0,1,1,1,1,1,1,Y,PASCO SCHOOL DISTRICT,1016 N 14TH AVE,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y
ST. PATRICK SCHOOL,2015-16,311,96.1,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,1112 NORTH G ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. PAUL CATHEDRAL SCHOOL,2015-16,164,93.3,0.6,0,0,0.6,0,0.6,0.6,0.6,0.6,0.6,0.6,153,1,0,0,1,0,1,1,1,1,1,1,Y,YAKIMA SCHOOL DISTRICT,1214 W CHESTNUT AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-8,Y,Y
ST. PAUL SCHOOL,2015-16,113,45.1,0,0,0,0,0,0,0,0,0,0,1.8,51,0,0,0,0,0,0,0,0,0,0,2,Y,SEATTLE PUBLIC SCHOOLS,10001 57TH AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. PAUL'S ACADEMY,2015-16,125,78.4,8,0.8,7.2,0,0,5.6,5.6,5.6,5.6,8,7.2,98,10,1,9,0,0,7,7,7,7,10,9,Y,BELLINGHAM SCHOOL DISTRICT,3000 NORTHWEST AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
ST. PAUL'S ACADEMY--2ND LOCATION,2015-16,125,80,6.4,0,6.4,0,0,3.2,3.2,2.4,4,5.6,4,100,8,0,8,0,0,4,4,3,5,7,5,Y,BELLINGHAM SCHOOL DISTRICT,1509 E VICTOR STREET,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-12,N,Y
ST. PAUL'S LUTHERAN SCHOOL,2015-16,64,92.2,7.8,0,7.8,0,0,7.8,7.8,7.8,7.8,7.8,7.8,59,5,0,5,0,0,5,5,5,5,5,5,Y,WENATCHEE SCHOOL DISTRICT,312 PALOUSE ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-6,Y,Y
ST. PHILOMENA SCHOOL,2015-16,263,93.5,1.1,0,1.1,0,0,0,0.8,1.1,0.8,1.1,1.1,246,3,0,3,0,0,0,2,3,2,3,3,Y,HIGHLINE SCHOOL DISTRICT,1815 S 220TH ST,DES MOINES,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
ST. PIUS X SCHOOL,2015-16,118,83.9,2.5,2.5,0,0,0,0,0,0,0.8,1.7,0,99,3,3,0,0,0,0,0,0,1,2,0,Y,EDMONDS SCHOOL DISTRICT,22105 58TH AVE W,MOUNTLAKE TERRACE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
ST. ROSE OF LIMA SCHOOL,2015-16,86,100,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,Y,EPHRATA SCHOOL DISTRICT,520 NAT WASHINGTON WAY,EPHRATA,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-6,Y,Y
ST. ROSE SCHOOL,2015-16,108,97.2,2.8,1.9,0.9,0,0,0.9,0.9,2.8,1.9,0.9,0.9,105,3,2,1,0,0,1,1,3,2,1,1,Y,LONGVIEW SCHOOL DISTRICT,720 26TH AVE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,P-8,Y,Y
ST. THERESE SCHOOL,2015-16,118,91.5,1.7,0,0.8,0.8,0,1.7,1.7,0.8,1.7,0.8,1.7,108,2,0,1,1,0,2,2,1,2,1,2,Y,SEATTLE PUBLIC SCHOOLS,900 35TH AVE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
ST. THOMAS MORE SCHOOL,2015-16,220,71.8,12.3,4.5,7.7,0,0,7.7,6.4,6.8,7.3,5.5,15,158,27,10,17,0,0,17,14,15,16,12,33,Y,MEAD SCHOOL DISTRICT,515 W ST THOMAS MORE WAY,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ST. THOMAS MORE SCHOOL,2015-16,231,93.9,1.3,0,1.3,0,0,1.3,1.3,1.3,1.3,1.3,1.3,217,3,0,3,0,0,3,3,3,3,3,3,Y,EDMONDS SCHOOL DISTRICT,6511 176TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
ST. THOMAS SCHOOL,2015-16,225,96.4,3.6,3.1,0,0.4,0,1.8,1.8,2.7,0.4,1.3,3.1,217,8,7,0,1,0,4,4,6,1,3,7,Y,BELLEVUE SCHOOL DISTRICT,8300 NE 12TH ST,MEDINA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
