School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
BK PLAY ACADEMY FOR GIFTED CHILDREN,2015-16,5,100,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,6236 122ND AVE SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
BLACK DIAMOND ELEMENTARY,2015-16,301,90,9.3,2.7,6.3,0,0.3,6,6,7,6.3,5.6,8,271,28,8,19,0,1,18,18,21,19,17,24,Y,ENUMCLAW SCHOOL DISTRICT,25314 BAKER STREET,BLACK DIAMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BLACK LAKE ELEMENTARY,2015-16,512,89.6,6.4,1.6,4.9,0.2,0,3.5,3.5,3.9,4.1,3.9,4.3,459,33,8,25,1,0,18,18,20,21,20,22,Y,TUMWATER SCHOOL DISTRICT,6345 BELMORE-BLACK LAKE ROAD,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
BLACKWELL ELEMENTARY,2015-16,518,87.8,3.9,1,2.9,0,0,1.9,1.7,2.5,1.9,1.7,2.9,455,20,5,15,0,0,10,9,13,10,9,15,Y,LAKE WASHINGTON SCHOOL DISTRICT,3225 - 205TH PL NE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BLAINE ELEMENTARY SCHOOL,2015-16,483,90.9,7.7,1.7,5,1,0,5.6,5.4,6.2,5.8,5.4,6.6,439,37,8,24,5,0,27,26,30,28,26,32,Y,BLAINE SCHOOL DISTRICT,836 MITCHELL AVE,BLAINE,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,3-5,N,N
BLAINE HIGH SCHOOL,2015-16,657,91.8,5.8,1.4,4.1,0.3,0,3.8,3.5,3.2,3.2,3.8,0,603,38,9,27,2,0,25,23,21,21,25,0,Y,BLAINE SCHOOL DISTRICT,1055 H STREET,BLAINE,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
BLAINE MIDDLE SCHOOL,2015-16,482,89.6,8.7,1.7,7.1,0.4,0,4.6,3.7,4.4,3.7,4.6,5.8,432,42,8,34,2,0,22,18,21,18,22,28,Y,BLAINE SCHOOL DISTRICT,975 H STREET,BLAINE,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
BLAINE PRIMARY SCHOOL,2015-16,458,90,5.5,0.7,4.8,0,0,4.4,4.4,4.1,5,3.7,5,412,25,3,22,0,0,20,20,19,23,17,23,Y,BLAINE SCHOOL DISTRICT,820 BOBLETT ST,BLAINE,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -2,Y,N
BLIX ELEMENTARY SCHOOL,2015-16,491,94.3,1.6,0.2,0.6,0.4,0.4,1,1,1.2,1.2,1.2,1.6,463,8,1,3,2,2,5,5,6,6,6,8,Y,TACOMA SCHOOL DISTRICT,1302 E 38TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BLOSSOMING HILL MONTESSORI,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,TAHOMA SCHOOL DISTRICT,23855 SE 216TH ST,MAPLE VALLEY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
BLUE HERON MIDDLE SCHOOL,2015-16,378,60.6,19.6,3.4,15.3,0.5,0.8,12.4,11.9,13.2,12.7,14.3,16.1,229,74,13,58,2,3,47,45,50,48,54,61,Y,PORT TOWNSEND SCHOOL DISTRICT,3939 SAN JUAN AVE,PORT TOWNSEND,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,1-8,N,Y
BLUE RIDGE ELEMENTARY,2015-16,309,95.8,0.3,0.3,0,0,0,0,0,0.3,0,0,0.3,296,1,1,0,0,0,0,0,1,0,0,1,Y,WALLA WALLA PUBLIC SCHOOLS,1150 W CHESTNUT ST,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N
BOISTFORT ELEM,2015-16,90,96.7,2.2,0,2.2,0,0,2.2,2.2,2.2,2.2,1.1,1.1,87,2,0,2,0,0,2,2,2,2,1,1,Y,BOISTFORT SCHOOL DISTRICT,983 BOISTFORT ROAD,CURTIS,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-8,Y,Y
BONNEY LAKE CHRISTIAN ACADEMY,2015-16,5,80,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Y,SUMNER SCHOOL DISTRICT,8201 LOCUST AVE E,BONNEY LAKE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
