School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,Address,City,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,,,
ALL SAINTS SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,504 2ND ST SW,PUYALLUP,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43167,N,Y,,,
ALLEN CREEK ELEMENTARY SCHOOL,2014-15,463,95.9,3.7,0.9,2.6,0.2,0,2.6,2.8,2.6,2.6,2.2,3,444,17,4,12,1,0,12,13,12,12,10,14,Y,6505 60TH DR NE,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,,,
ALLEN ELEMENTARY,2014-15,336,93.2,3.9,0.9,2.7,0.3,0,2.7,3,3,2.7,2.7,3.3,313,13,3,9,1,0,9,10,10,9,9,11,Y,17145 COOK ROAD,BOW,BURLINGTON-EDISON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y,,,
ALMIRA COULEE HARTLINE HIGH SCHOOL,2014-15,80,86.3,3.8,0,3.8,0,0,1.3,1.3,2.5,0,0,0,69,3,0,3,0,0,1,1,2,0,0,0,Y,413 N. 4TH STREET,COULEE CITY,COULEE-HARTLINE SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,43355,N,N,,,
ALMIRA ELEMENTARY SCHOOL,2014-15,113,91.2,8.8,0,8.8,0.9,0.9,2.7,2.7,4.4,2.7,3.5,8,103,10,0,10,1,1,3,3,5,3,4,9,Y,PO BOX 217,ALMIRA,ALMIRA SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y,,,
ALPAC ELEMENTARY SCHOOL,2014-15,512,90,5.5,0.6,4.5,0.4,0,4.9,4.9,4.9,4.9,4.3,5.3,461,28,3,23,2,0,25,25,25,25,22,27,Y,310 MILWAUKEE BLVD N,PACIFIC,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
ALTA VISTA SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,245 4TH ST SUITE 303,BREMERTON,BREMERTON SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,43293,N,N,,,
ALTERNATIVE BANCROFT SCHOOL,2014-15,88,64.8,4.5,1.1,3.4,0,0,2.3,2.3,2.3,2.3,3.4,0,57,4,1,3,0,0,2,2,2,2,3,0,Y,1025 W SPOFFORD AVE,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43171,N,Y,,,
ALTERNATIVE HIGH SCHOOL,2014-15,153,89.5,8.5,4.6,3.3,0.7,0,7.8,7.8,4.6,3.9,5.2,2.6,137,13,7,5,1,0,12,12,7,6,8,4,Y,10120 FRONTIER PLACE NW,SILVERDALE,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,43385,N,N,,,
ALTERNATIVE SCHOOL (METHOW VALLEY INDEPENDENT  LC),2014-15,19,68.4,15.8,0,15.8,0,0,10.5,10.5,15.8,15.8,15.8,0,13,3,0,3,0,0,2,2,3,3,3,0,Y,18 TWIN LAKES RD.,WINTHROP,METHOW VALLEY SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,43355,N,N,,,
