School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,Address,City,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,,,
APOLO HIGH SCHOOL,2014-15,31,87.1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,Y,241 NORTH MILITARY ROAD,WINLOCK,WINLOCK SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,43263,N,Y,,,
APP AT LINCOLN,2014-15,685,90.4,7.4,2.2,5.4,0.1,0,1.6,1.6,2.5,2.2,4.2,5.3,619,51,15,37,1,0,11,11,17,15,29,36,Y,4400 INTERLAKE AVE N,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43105,N,N,,,
APPLE VALLEY ELEMENTARY,2014-15,344,97.1,2.9,0.9,2,0,0,1.2,1.2,1.2,0.9,1.2,1.7,334,10,3,7,0,0,4,4,4,3,4,6,Y,7 N 88TH AVENUE,YAKIMA,WEST VALLEY SCHOOL DISTRICT (YAKIMA),YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N,,,
APPLIED SCHOLASTICS ACADEMY OF SEATTLE,2014-15,22,54.5,45.5,0,45.5,0,0,36.4,45.5,45.5,45.5,45.5,45.5,12,10,0,10,0,0,8,10,10,10,10,10,Y,520 NE RAVENNA BLVD,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,Y,Y,,,
ARBOR HEIGHTS ELEMENTARY SCHOOL,2014-15,368,81.5,6.8,3.3,3.8,0.3,0,2.7,2.7,3.3,3,2.2,5.4,300,25,12,14,1,0,10,10,12,11,8,20,Y,3701 SW 104 ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
ARBOR SCHOOLS,2014-15,69,87,7.2,0,7.2,0,0,4.3,4.3,7.2,7.2,5.8,4.3,60,5,0,5,0,0,3,3,5,5,4,3,Y,1107 228TH AVE SE,SAMMAMISH,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-9,Y,Y,,,
ARCADIA ELEMENTARY,2014-15,436,89,9.4,1.1,6.9,1.4,0,4.4,4.4,5.5,4.4,5.3,8.7,388,41,5,30,6,0,19,19,24,19,23,38,Y,"E. 1120 ""D"" STREET",DEER PARK,DEER PARK SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43164,N,N,,,
ARCHBISHOP THOMAS J. MURPHY HIGH SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,12911 39TH AVE SE,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
ARDMORE ELEMENTARY SCHOOL,2014-15,352,86.1,4.3,0,4,0.3,0,2.8,0,2.6,2.3,3.1,2.8,303,15,0,14,1,0,10,0,9,8,11,10,Y,16616 NE 32ND ST.,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
ARLINGTON CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,2425 200TH NE,ARLINGTON,ARLINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y,,,
ARLINGTON ELEMENTARY,2014-15,596,83.4,11.4,1.5,6.5,0.3,0.2,6.4,6.4,5.2,4.9,2.9,9.6,497,68,9,39,2,1,38,38,31,29,17,57,Y,6363 N SMITH ST,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,,,
ARLINGTON ELEMENTARY SCHOOL,2014-15,249,98,2,0.4,1.2,0.4,0.4,0.8,0.8,1.2,1.2,0.8,0.8,244,5,1,3,1,1,2,2,3,3,2,2,Y,3002 S 72ND ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
ARLINGTON HIGH SCHOOL,2014-15,1631,90.4,7.7,0.8,6.9,0.3,0,5.3,4.8,5.4,3.7,4.5,0,1475,126,13,112,5,0,86,78,88,61,73,0,Y,18821 CROWN RIDGE BLVD,ARLINGTON,ARLINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
ARMIN JAHR ELEMENTARY,2014-15,452,88.7,1.3,0,1.3,0,0,0.9,0.9,0.7,0.9,0.7,0.9,401,6,0,6,0,0,4,4,3,4,3,4,Y,800 DIBB STREET,BREMERTON,BREMERTON SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N,,,
ARROWHEAD ELEMENTARY,2014-15,387,89.1,8.3,1.3,7,0,0,5.4,5.4,6.5,5.7,6.7,7.2,345,32,5,27,0,0,21,21,25,22,26,28,Y,6725 NE ARROWHEAD DR,KENMORE,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
ARTHUR JACOBSEN ELEMENTARY,2014-15,586,92.8,2.6,0.9,1.5,0.2,0,1.9,1.9,2,2.2,1,1.9,544,15,5,9,1,0,11,11,12,13,6,11,Y,29205 132ND AVE SE,AUBURN,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
ARTONDALE ELEMENTARY SCHOOL,2014-15,389,93.3,6.7,0.5,5.9,0,0.3,5.4,5.4,5.4,5.7,5.4,6.2,363,26,2,23,0,1,21,21,21,22,21,24,Y,6219 40TH STREET NW,GIG HARBOR,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
ARTS AND ACADEMICS ACADEMY,2014-15,310,93.9,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,Y,830 SW 116TH ST,SEATTLE,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
ARTZ FOX ELEMENTARY,2014-15,542,86.2,0.2,0,0.2,0,0,0,0,0.2,0,0,0,467,1,0,1,0,0,0,0,1,0,0,0,Y,P.O. BOX 40,MABTON,MABTON SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -6,Y,Y,,,
ASOTIN ELEMENTARY,2014-15,274,92.7,6.6,2.9,3.3,0.4,0,5.8,5.5,5.5,5.8,5.1,6.2,254,18,8,9,1,0,16,15,15,16,14,17,Y,PO BOX 489,ASOTIN,ASOTIN-ANATONE SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,PK-6,Y,Y,,,
ASOTIN JR SR HIGH,2014-15,346,94.8,4.6,0.9,3.5,0.3,0,4.3,3.8,3.2,3.5,2.6,1.4,328,16,3,12,1,0,15,13,11,12,9,5,Y,215 SECOND ST,ASOTIN,ASOTIN-ANATONE SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,43293,N,N,,,
ASPIRE MIDDLE SCHOOL,2014-15,305,90.8,5.9,0,5.9,0,0,3.6,3.6,2.6,3,2,2,277,18,0,18,0,0,11,11,8,9,6,6,Y,5900 54TH AVE SE,LACEY,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,43259,N,Y,,,
ASSUMPTION CATHOLIC SCHOOL,2014-15,177,74,2.3,0.6,1.7,0,0,1.1,1.1,1.1,2.3,1.7,2.3,131,4,1,3,0,0,2,2,2,4,3,4,Y,2116 CORNWALL AVE,BELLINGHAM,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,,,
ASSUMPTION GRADE SCHOOL,2014-15,198,96,1.5,0.5,1,0,0,1.5,1.5,1.5,1.5,1.5,1.5,190,3,1,2,0,0,3,3,3,3,3,3,Y,2066 E ALDER ST,WALLA WALLA,WALLA WALLA PUBLIC SCHOOLS,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y,,,
ASSUMPTION SCHOOL,2014-15,141,89.4,10.6,0,9.9,0.7,0,3.5,3.5,5,3.5,3.5,9.2,126,15,0,14,1,0,5,5,7,5,5,13,Y,3618 W INDIAN TRAIL RD,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y,,,
ASSUMPTION ST. BRIDGET,2014-15,503,96.6,1.6,0,1.6,0,0,0.8,0.8,1.2,1,1,0.8,486,8,0,8,0,0,4,4,6,5,5,4,Y,6220 32ND AVE NE,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y,,,
AUBURN ADVENTIST ACADEMY,2014-15,213,96.7,3.3,0,3.3,0,0,3.3,3.3,3.3,3.3,3.3,3.3,206,7,0,7,0,0,7,7,7,7,7,7,Y,5000 AUBURN WAY S,AUBURN,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
AUBURN MOUNTAINVIEW HIGH SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,28900 124TH AVE SE,AUBURN,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
AUBURN RIVERSIDE HIGH SCHOOL,2014-15,1631,95.5,2.7,0.2,2.4,0.2,0,1.7,1.3,1.3,1.4,1.3,0,1557,44,3,39,3,0,27,22,22,23,22,0,Y,501 ORAVETZ RD SE,AUBURN,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
AUBURN SENIOR HIGH SCHOOL,2014-15,1559,93,3.1,0.6,2.2,0.2,0.1,2.2,1.7,2.1,1.5,1.9,0,1450,48,10,35,3,2,35,27,32,24,29,0,Y,800 4TH ST NE,AUBURN,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
AUDUBON ELEMENTARY,2014-15,466,82,4.5,0.6,2.6,0.2,0,2.8,2.8,3,2.8,3,3.6,382,21,3,12,1,0,13,13,14,13,14,17,Y,2020 W CARLISLE AVE,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,,,
AUDUBON ELEMENTARY,2014-15,569,65.4,3.3,1.1,2.3,0,0,2.1,2.3,2.5,2.3,2.5,3,372,19,6,13,0,0,12,13,14,13,14,17,Y,3045 180TH NE,REDMOND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
AVANTI HIGH SCHOOL,2014-15,154,59.1,16.9,0.6,14.9,1.3,0,12.3,5.8,13,10.4,13.6,0,91,26,1,23,2,0,19,9,20,16,21,0,Y,1113 LEGION WAY SE,OLYMPIA,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,43355,N,N,,,
AYLEN JR HIGH,2014-15,658,97.3,2.1,0.6,1.4,0,0.2,0.6,0.9,0.8,0.8,1.2,0.6,640,14,4,9,0,1,4,6,5,5,8,4,Y,101 15TH ST NW,PUYALLUP,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43290,N,N,,,
B F DAY ELEMENTARY SCHOOL,2014-15,327,73.7,10.1,3.4,6.7,0,0,3.1,3.1,3.4,5.2,6.4,5.8,241,33,11,22,0,0,10,10,11,17,21,19,Y,3921 LINDEN AV N,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
BADGER MOUNTAIN ELEMENTARY,2014-15,750,96.5,2.9,0.5,2.3,0.1,0,2.1,2.1,2.1,2,1.6,2.3,724,22,4,17,1,0,16,16,16,15,12,17,Y,1515 ELEMENTARY STREET,RICHLAND,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,,,
BAILEY GATZERT ELEMENTARY SCHOOL,2014-15,344,91,2,2,0.3,0,0,0.3,0.3,0.3,0.6,0.6,1.5,313,7,7,1,0,0,1,1,1,2,2,5,Y,1301 E YESLER WY,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
BAINBRIDGE HIGH SCHOOL,2014-15,1262,96.1,3.9,0.6,3.3,0,0,2.1,1.8,2.3,1.4,2.5,0,1213,49,7,42,0,0,27,23,29,18,31,0,Y,9330 NE HIGH SCHOOL RD,BAINBRIDGE ISLAND,BAINBRIDGE ISLAND SCHOOL DISTRICT,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
BAKER MIDDLE SCHOOL,2014-15,702,91.5,1.6,0.3,1,0.3,0.3,1,1.3,1.1,0.9,0.6,0.9,642,11,2,7,2,2,7,9,8,6,4,6,Y,8320 S I ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
BAKER VIEW CHRISTIAN SCHOOL,2014-15,30,73.3,6.7,0,0,6.7,0,6.7,6.7,6.7,6.7,6.7,6.7,22,2,0,0,2,0,2,2,2,2,2,2,Y,5353 WASCHKE RD,BELLINGHAM,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,,,
BALBOA ELEMENTARY,2014-15,362,78.7,6.6,0.8,3.9,0.8,0,2.2,2.2,2.2,2.5,2.2,6.6,285,24,3,14,3,0,8,8,8,9,8,24,Y,3010 W HOLYOKE AVE,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,,,
BALLARD HIGH SCHOOL,2014-15,1664,71.9,19.5,14.7,6.9,0.4,0,4.2,4.2,5,3.4,6,15.8,1197,324,244,114,6,0,70,70,83,57,100,263,Y,1418 NW 65 ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
BALLOU JR HIGH,2014-15,743,92.9,5.1,0.7,4,0.3,0.1,2.8,3.4,2.8,2.7,3,2.8,690,38,5,30,2,1,21,25,21,20,22,21,Y,9916 136TH ST E,PUYALLUP,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43290,N,N,,,
BARGE-LINCOLN ELEMENTARY SCHOOL,2014-15,632,96,0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,607,1,1,0,0,0,1,1,1,1,1,1,Y,219 E I ST,YAKIMA,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,,,
BARKER CENTER,2014-15,138,86.2,5.1,0,5.1,0,0,3.6,3.6,2.9,3.6,2.9,1.4,119,7,0,7,0,0,5,5,4,5,4,2,Y,13313 E BROADWAY,SPOKANE VALLEY,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43355,N,N,,,
BARNES ELEMENTARY,2014-15,351,98.6,1.4,0.6,0.9,0,0,2.3,2.3,1.7,2.3,1.4,1.7,346,5,2,3,0,0,8,8,6,8,5,6,Y,401 BARNES,KELSO,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
BASIN CITY ELEMENTARY,2014-15,434,94.9,1.2,0.2,0.9,0,0,0,0,0.2,0,0,1.2,412,5,1,4,0,0,0,0,1,0,0,5,Y,303 BAILIE BLVD,MESA,NORTH FRANKLIN SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y,,,
BATTLE GROUND HIGH SCHOOL,2014-15,2198,89.9,8.7,0.4,7.7,0.5,0.1,6.7,6.2,4.7,3.6,4.1,0,1977,191,8,170,11,2,148,136,104,80,90,0,Y,PO BOX 200,BATTLE GROUND,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,43355,N,N,,,
BAY VIEW ELEMENTARY,2014-15,398,91.5,7,3.5,3.8,0.3,0,5,4.8,3.5,4.3,4.3,6,364,28,14,15,1,0,20,19,14,17,17,24,Y,15241 JOSH WILSON RD,BURLINGTON,BURLINGTON-EDISON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y,,,
BEACH ELEM,2014-15,32,59.4,37.5,12.5,25,0,0,21.9,25,28.1,28.1,34.4,34.4,19,12,4,8,0,0,7,8,9,9,11,11,Y,3786 CENTERVIEW ROAD,LUMMI ISLAND,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
BEACHWOOD ELEMENTARY SCHOOL,2014-15,322,94.4,1.6,1.6,0,0,0,0.3,0.3,0.6,0.3,1.2,0.3,304,5,5,0,0,0,1,1,2,1,4,1,Y,AMERICAN LK AVE & CONCORD ST,LAKEWOOD,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
BEACON AVENUE ELEMENTARY SCHOOL,2014-15,361,87,5.8,2.2,3.3,0.3,0,4.4,4.4,5.3,5.3,4.7,5.5,314,21,8,12,1,0,16,16,19,19,17,20,Y,1717 EAST BEACON AVENUE,MONTESANO,MONTESANO SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-3,Y,N,,,
BEACON HILL ELEMENTARY,2014-15,532,96.8,2.8,0.8,1.9,0,0.2,2.4,2.4,2.3,2.6,1.3,2.6,515,15,4,10,0,1,13,13,12,14,7,14,Y,257 ALPHA DR,LONGVIEW,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
BEACON HILL INTERNATIONAL SCHOOL,2014-15,477,86.2,4.6,3.4,1.3,0,0,1,1,0.4,1,1.3,3.1,411,22,16,6,0,0,5,5,2,5,6,15,Y,2025 14 AV S,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
BEAR CREEK ELEMENTARY,2014-15,497,94.4,5,0.4,4.6,0,0,2.6,2.6,3,3,3.6,4.4,469,25,2,23,0,0,13,13,15,15,18,22,Y,18101 AVONDALE RD NE,WOODINVILLE,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
BEAVER LAKE MIDDLE SCHOOL,2014-15,871,96.6,2.9,0.8,2.1,0.1,0,1.7,1.5,1.7,1.5,1.4,0.9,841,25,7,18,1,0,15,13,15,13,12,8,Y,25025 SE 32ND ST,ISSAQUAH,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
BEAVER VALLEY SCHOOL,2014-15,34,73.5,20.6,0,20.6,0,0,20.6,20.6,20.6,20.6,20.6,20.6,25,7,0,7,0,0,7,7,7,7,7,7,Y,19265 BEAVER VALLEY RD,LEAVENWORTH,CASCADE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N,,,
BELFAIR ELEMENTARY,2014-15,451,92.5,3.5,0.4,2.9,0,0.2,2,2,1.6,2,2.2,3.1,417,16,2,13,0,1,9,9,7,9,10,14,Y,NE 22900 HWY 3,BELFAIR,NORTH MASON SCHOOL DISTRICT,MASON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N,,,
BELL ELEMENTARY,2014-15,384,82.8,8.9,2.1,6.5,0.3,0.3,5.7,6.3,5.7,5.5,4.9,7.3,318,34,8,25,1,1,22,24,22,21,19,28,Y,11212 NE 112TH,KIRKLAND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
BELLARMINE PREPARATORY SCHOOL,2014-15,996,99,0.9,0.1,0.7,0,0.1,0.9,0.9,0.8,0.8,0.8,0,986,9,1,7,0,1,9,9,8,8,8,0,Y,2300 S WASHINGTON ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
BELLEVUE BIG PICTURE SCHOOL,2014-15,337,79.5,11.9,4.5,7.4,0,0,6.2,0,5.6,4.5,5,8.3,268,40,15,25,0,0,21,0,19,15,17,28,Y,14844 SE 22ND STREET,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43263,N,Y,,,
BELLEVUE CHILDREN'S ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,14600 NE 24TH ST,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N,,,
BELLEVUE CHILDREN'S ACADEMY 2ND LOCATION,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,14600 NE 24TH ST,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43139,N,Y,,,
BELLEVUE CHRISTIAN MACK ELEMENTARY,2014-15,219,89.5,10.5,0.9,8.2,1.4,0,6.8,6.8,7.8,7.3,6.8,9.1,196,23,2,18,3,0,15,15,17,16,15,20,Y,18250 168TH PL NE,WOODINVILLE,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y,,,
BELLEVUE CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,1601 98TH AVE NE,CLYDE HILL,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43293,N,N,,,
BELLEVUE HIGH SCHOOL,2014-15,1541,80.1,7.9,4.9,2.8,0.1,0,2.7,0,2.1,1.4,2.6,5.2,1234,121,76,43,2,0,42,0,33,22,40,80,Y,10416 WOLVERINE WAY,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
BELLEVUE MONTESSORI SCHOOL,2014-15,53,90.6,9.4,0,9.4,0,0,9.4,9.4,9.4,9.4,9.4,9.4,48,5,0,5,0,0,5,5,5,5,5,5,Y,2411 112TH AVE NE,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N,,,
BELLINGHAM CHRISTIAN SCHOOL,2014-15,166,77.1,21.7,9,18.7,1.8,0,12,11.4,13.3,13.3,16.3,17.5,128,36,15,31,3,0,20,19,22,22,27,29,Y,1600 E SUNSET DR,BELLINGHAM,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,,,
BELLINGHAM HIGH SCHOOL,2014-15,1065,91.7,7.2,0.6,6.7,0.1,0.1,4.7,1.8,4.3,4.6,6.9,0,977,77,6,71,1,1,50,19,46,49,74,0,Y,2020 CORNWALL AVE,BELLINGHAM,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
BEL-RED BILINGUAL ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,15061 BEL-RED RD,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N,,,
BEMISS,2014-15,536,86.9,4.9,0.2,3.5,0.6,0.2,3.2,3.2,2.8,3.2,2.2,3.9,466,26,1,19,3,1,17,17,15,17,12,21,Y,2323 E BRIDGEPORT AVE,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,,,
SEQUIM SENIOR HIGH,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,601 N. SEQUIM AVE.,SEQUIM,SEQUIM SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,43355,N,N,,,
BENGE ELEMENTARY,2014-15,14,57.1,42.9,0,42.9,0,0,42.9,42.9,35.7,35.7,35.7,35.7,8,6,0,6,0,0,6,6,5,5,5,5,Y,2978 E. BENGE-WINONA RD.,BENGE,BENGE SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,,,
BENJAMIN FRANKLIN ELEMENTARY,2014-15,393,91.6,5.1,0,4.8,0.3,0,3.3,3.3,3.1,3.6,3.8,3.6,360,20,0,19,1,0,13,13,12,14,15,14,Y,5206 FRANKLIN ST,VANCOUVER,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
BENNETT ELEMENTARY SCHOOL,2014-15,468,92.5,6.4,2.1,4.1,0.2,0,1.9,0,3,1.7,3.4,4.5,433,30,10,19,1,0,9,0,14,8,16,21,Y,17900 NE 16TH STREET,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
BENSON HILL ELEMENTARY SCHOOL,2014-15,548,94.2,4.9,0.4,4,0.2,0.4,3.8,3.8,3.8,3.6,3.1,4.6,516,27,2,22,1,2,21,21,21,20,17,25,Y,18665 116TH AVE SE,RENTON,RENTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
BERNEY ELEMENTARY SCHOOL,2014-15,444,91.2,3.2,0.5,2.3,0.5,0,2.3,2.3,2.7,2.7,2.5,2.9,405,14,2,10,2,0,10,10,12,12,11,13,Y,1718 PLEASANT ST,WALLA WALLA,WALLA WALLA PUBLIC SCHOOLS,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,,,
